type,
person,0
organization,1
,
function,
vorstand,v
aufsichtsrad,ar
,
representation,
politik,p
wirtschaft,w
gewerkschaft,g
umwelt,u
sport,s
wissenschaft,wi
marketing,ma
vertrieb,ve
finanzen,f
verwaltung,ver
operations,o
unternehmensstrategie,un
kommunikation,k
einkauf,e
,
position,
vorsitz,vo
stellvertreter,st
mitglied in der vfb organisation,m
