from,to
th,vfbag
sh,vfbag
sh,vfbreha
sh,sn
sh,vfba
sh,vfbm
sh,vfbb
sh,wf
jr,vfbag
jr,vfbm
os,vfbag
os,dfl
cv,vfbev
cv,vfbag
wp,vfbag
wp,dag
ra,vfbag
dbg,vfbev
dbg,vfbag
hj,vfbag
hj,ak
hj,akf
ho,vfbag
fr,vfbag
fr,dmag
dbs,vfbag
dbs,rb
